id,amenity_id,beauty_salon_id
24975,1,443813
26000,1,447969
26254,1,448812
26859,1,451493
27177,1,453064
27178,1,453066
27622,1,456694
27903,1,458294
28545,1,461594
32153,1,478501
32184,1,478624
32738,1,481416
32751,1,481462
32788,1,481868
32801,1,482048
32828,1,482184
32913,1,482453
32919,1,482485
32929,1,482505
34253,1,490017
34254,1,490018
34314,1,490087
34333,1,490100
35251,1,491914
35346,1,492114
35625,1,492569
35771,1,493048
36215,1,493876
37022,1,494953
37438,1,496107
37783,1,500191
37808,1,500298
38232,1,502263
38457,1,503316
38599,1,504413
38624,1,504571
38993,1,507732
39466,1,516968
34512,1,522577
34529,1,522588
34556,1,522643
34612,1,523016
34645,1,523163
34825,1,523870
34889,1,524222
35036,1,525280
35368,1,526616
35436,1,526680
36175,1,529426
36294,1,529620
37659,1,547409
37698,1,547502
37888,1,550739
38850,1,556005
34123,1,561773
35174,1,566729
35500,1,567583
36187,1,569024
36728,1,570282
36762,1,570304
36792,1,570333
36793,1,570334
37586,1,572058
37862,1,572758
38221,1,573408
38224,1,573414
38554,1,574292
38587,1,574429
38813,1,575711
39710,1,579126
39740,1,579213
40180,1,582997
40305,1,583967
40114,1,601069
